east.west	north.south	angle	radial.position	velocity
continuous	continuous	continuous	continuous	continuous
				class
8.462788582	-38.173171997	102.5	39.099998474	1769
7.964977741	-35.927692413	102.5	36.799999237	1749
7.467166901	-33.682212830	102.5	34.500000000	1749
6.969355583	-31.436731339	102.5	32.200000763	1758
6.471544266	-29.191249847	102.5	29.899999619	1750
5.973733425	-26.945770264	102.5	27.600000381	1745
5.475922108	-24.700288773	102.5	25.299999237	1750
4.978111267	-22.454807281	102.5	23.000000000	1753
4.480299950	-20.209327698	102.5	20.700000763	1734
3.982488871	-17.963846207	102.5	18.399999619	1710
3.463033915	-15.620736122	102.5	16.000000000	1711
2.965222597	-13.375255585	102.5	13.699999809	1709
2.467411518	-11.129774094	102.5	11.399999619	1674
1.969600558	-8.884294510	102.5	9.100000381	1665
1.471789360	-6.638813019	102.5	6.800000191	1680
0.973978281	-4.393332005	102.5	4.500000000	1648
0.476167172	-2.147851229	102.5	2.200000048	1626
-0.021643961	0.097629599	102.5	-0.100000001	1581
-0.519455075	2.343110561	102.5	-2.400000095	1602
-1.017266154	4.588591099	102.5	-4.699999809	1558
-1.515077353	6.834072113	102.5	-7.000000000	1538
-2.012888432	9.079552650	102.5	-9.300000191	1506
-2.510699511	11.325034142	102.5	-11.600000381	1521
-3.008510590	13.570513725	102.5	-13.899999619	1498
-3.527965546	15.913623810	102.5	-16.299999237	1501
-4.025776863	18.159105301	102.5	-18.600000381	1491
-4.523587704	20.404586792	102.5	-20.899999619	1481
-5.021399021	22.650068283	102.5	-23.200000763	1468
-5.519210339	24.895547867	102.5	-25.500000000	1455
-6.017021179	27.141027451	102.5	-27.799999237	1454
-6.514832497	29.386510849	102.5	-30.100000381	1456
-7.012643814	31.631992340	102.5	-32.400001526	1459
-7.510454655	33.877471924	102.5	-34.700000763	1451
-8.008265495	36.122951508	102.5	-37.000000000	1465
-8.506076813	38.368431091	102.5	-39.299999237	1451
-9.501699448	42.859397888	102.5	-43.900001526	1486
-11.016777039	49.693470001	102.5	-50.900001526	1433
27.824436188	6.168529034	12.5	28.500000000	1631
21.087993622	4.675095558	12.5	21.600000381	1618
18.842512131	4.177284241	12.5	19.299999237	1607
16.597032547	3.679473400	12.5	17.000000000	1608
14.351551056	3.181662321	12.5	14.699999809	1601
12.106071472	2.683851242	12.5	12.399999619	1603
9.860589981	2.186040163	12.5	10.100000381	1612
7.615108967	1.688229084	12.5	7.800000191	1607
5.271998405	1.168773890	12.5	5.400000095	1618
3.026517630	0.670962811	12.5	3.099999905	1649
0.781036794	0.173151687	12.5	0.800000012	1595
-1.464444041	-0.324659407	12.5	-1.500000000	1580
-3.709924698	-0.822470546	12.5	-3.799999952	1574
-5.955405712	-1.320281625	12.5	-6.099999905	1574
-8.200885773	-1.818092704	12.5	-8.399999619	1559
-10.446367264	-2.315903902	12.5	-10.699999809	1578
-12.691847801	-2.813714981	12.5	-13.000000000	1591
-14.937329292	-3.311526060	12.5	-15.300000191	1579
-17.182809830	-3.809337378	12.5	-17.600000381	1588
-19.428289413	-4.307148457	12.5	-19.899999619	1581
-21.673772812	-4.804959774	12.5	-22.200000763	1569
-23.919252396	-5.302770615	12.5	-24.500000000	1572
-26.262361526	-5.822225571	12.5	-26.899999619	1584
-28.507844925	-6.320036888	12.5	-29.200000763	1565
23.869941711	-25.597379684	133.0	35.000000000	1718
22.301347733	-23.915266037	133.0	32.700000763	1711
20.732749939	-22.233152390	133.0	30.399999619	1710
19.164154053	-20.551038742	133.0	28.100000381	1715
17.595556259	-18.868925095	133.0	25.799999237	1713
16.026962280	-17.186811447	133.0	23.500000000	1717
14.390165329	-15.431563377	133.0	21.100000381	1715
12.821567535	-13.749448776	133.0	18.799999237	1712
11.252972603	-12.067336082	133.0	16.500000000	1710
9.684376717	-10.385222435	133.0	14.199999809	1692
8.115779877	-8.703108788	133.0	11.899999619	1669
6.547184467	-7.020995617	133.0	9.600000381	1679
4.978588104	-5.338881969	133.0	7.300000191	1691
3.409991741	-3.656768560	133.0	5.000000000	1647
1.841395617	-1.974655032	133.0	2.700000048	1630
0.272799343	-0.292541474	133.0	0.400000006	1616
-1.295796871	1.389572024	133.0	-1.899999976	1576
-2.864392996	3.071685314	133.0	-4.199999809	1561
-4.432989120	4.753798962	133.0	-6.500000000	1558
-6.001585484	6.435912609	133.0	-8.800000191	1538
-7.638381481	8.191161156	133.0	-11.199999809	1525
-9.206977844	9.873274803	133.0	-13.500000000	1509
-10.775574684	11.555388451	133.0	-15.800000191	1501
-12.344170570	13.237502098	133.0	-18.100000381	1494
-13.912766457	14.919614792	133.0	-20.399999619	1489
-15.481363297	16.601730347	133.0	-22.700000763	1493
-17.049959183	18.283842087	133.0	-25.000000000	1487
-18.618555069	19.965955734	133.0	-27.299999237	1495
-20.187150955	21.648069382	133.0	-29.600000381	1511
-21.755746841	23.330183029	133.0	-31.899999619	1505
-23.324344635	25.012296677	133.0	-34.200000763	1508
-24.892940521	26.694410324	133.0	-36.500000000	1507
-26.461536407	28.376523972	133.0	-38.799999237	1513
-28.030132294	30.058635712	133.0	-41.099998474	1493
-29.666929245	31.813886642	133.0	-43.500000000	1495
18.420112610	-47.986034393	111.0	51.400001526	1736
17.595865250	-45.838798523	111.0	49.099998474	1744
16.771619797	-43.691562653	111.0	46.799999237	1765
15.947373390	-41.544330597	111.0	44.500000000	1766
14.263044357	-37.156501770	111.0	39.799999237	1764
