account_status	duration_months	credit_history	purpose	amount	savings_bonds	employment_since	installment_rate	sex_status	guarant_other	residence_since	property	age	other_installments	housing	number_of_credits	job	num_maintenance	telephone	foreign_workerer	credit
negative 0-200DM no_account >200DM	continuous	other_credits all_existing_credits_payed delay_in_payments all_credits_payed	house_investments education car(new) car(used) business other	continuous	no_account <100DM 500-1000DM >1000DM 100-500DM	>7years 1-4years 4-7years unemployed <1year	continuous	single_male female male	none guarantor co-applicant	continuous	real_estate life_insurance none car_other	continuous	none bank stores	own for\ free rent	continuous	skilled_employee unskilled_employee high_qualified none	continuous	yes none	yes no	good_credit bad_credit
																				class
negative	6	other_credits	house_investments	1169	no_account	>7years	4	single_male	none	4	real_estate	67	none	own	2	skilled_employee	1	yes	yes	good_credit
0-200DM	48	all_existing_credits_payed	house_investments	5951	<100DM	1-4years	2	female	none	2	real_estate	22	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	12	other_credits	education	2096	<100DM	4-7years	2	single_male	none	3	real_estate	49	none	own	1	unskilled_employee	2	none	yes	good_credit
negative	42	all_existing_credits_payed	house_investments	7882	<100DM	4-7years	2	single_male	guarantor	4	life_insurance	45	none	for_free	1	skilled_employee	2	none	yes	good_credit
negative	24	delay_in_payments	car(new)	4870	<100DM	1-4years	3	single_male	none	4	none	53	none	for_free	2	skilled_employee	2	none	yes	bad_credit
no_account	36	all_existing_credits_payed	education	9055	no_account	1-4years	2	single_male	none	4	none	35	none	for_free	1	unskilled_employee	2	yes	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	2835	500-1000DM	>7years	3	single_male	none	4	life_insurance	53	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	36	all_existing_credits_payed	car(used)	6948	<100DM	1-4years	2	single_male	none	2	car_other	35	none	rent	1	high_qualified	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	house_investments	3059	>1000DM	4-7years	2	male	none	4	real_estate	61	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	30	other_credits	car(new)	5234	<100DM	unemployed	4	male	none	2	car_other	28	none	own	2	high_qualified	1	none	yes	bad_credit
0-200DM	12	all_existing_credits_payed	car(new)	1295	<100DM	<1year	3	female	none	1	car_other	25	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	48	all_existing_credits_payed	business	4308	<100DM	<1year	3	female	none	4	life_insurance	24	none	rent	1	skilled_employee	1	none	yes	bad_credit
0-200DM	12	all_existing_credits_payed	house_investments	1567	<100DM	1-4years	1	female	none	1	car_other	22	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	24	other_credits	car(new)	1199	<100DM	>7years	4	single_male	none	4	car_other	60	none	own	2	unskilled_employee	1	none	yes	bad_credit
negative	15	all_existing_credits_payed	car(new)	1403	<100DM	1-4years	2	female	none	4	car_other	28	none	rent	1	skilled_employee	1	none	yes	good_credit
negative	24	all_existing_credits_payed	house_investments	1282	100-500DM	1-4years	4	female	none	2	car_other	32	none	own	1	unskilled_employee	1	none	yes	bad_credit
no_account	24	other_credits	house_investments	2424	no_account	>7years	4	single_male	none	4	life_insurance	53	none	own	2	skilled_employee	1	none	yes	good_credit
negative	30	all_credits_payed	business	8072	no_account	<1year	2	single_male	none	3	car_other	25	bank	own	3	skilled_employee	1	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	car(used)	12579	<100DM	>7years	4	female	none	2	none	44	none	for_free	1	high_qualified	1	yes	yes	bad_credit
no_account	24	all_existing_credits_payed	house_investments	3430	500-1000DM	>7years	3	single_male	none	2	car_other	31	none	own	1	skilled_employee	2	yes	yes	good_credit
no_account	9	other_credits	car(new)	2134	<100DM	1-4years	4	single_male	none	4	car_other	48	none	own	3	skilled_employee	1	yes	yes	good_credit
negative	6	all_existing_credits_payed	house_investments	2647	500-1000DM	1-4years	2	single_male	none	3	real_estate	44	none	rent	1	skilled_employee	2	none	yes	good_credit
negative	10	other_credits	car(new)	2241	<100DM	<1year	1	single_male	none	3	real_estate	48	none	rent	2	unskilled_employee	2	none	no	good_credit
0-200DM	12	other_credits	car(used)	1804	100-500DM	<1year	3	single_male	none	4	life_insurance	44	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	10	other_credits	house_investments	2069	no_account	1-4years	2	male	none	1	car_other	26	none	own	2	skilled_employee	1	none	no	good_credit
negative	6	all_existing_credits_payed	house_investments	1374	<100DM	1-4years	1	single_male	none	2	real_estate	36	bank	own	1	unskilled_employee	1	yes	yes	good_credit
no_account	6	all_credits_payed	house_investments	426	<100DM	>7years	4	male	none	4	car_other	39	none	own	1	unskilled_employee	1	none	yes	good_credit
>200DM	12	all_credits_payed	house_investments	409	>1000DM	1-4years	3	female	none	3	real_estate	42	none	rent	2	skilled_employee	1	none	yes	good_credit
0-200DM	7	all_existing_credits_payed	house_investments	2415	<100DM	1-4years	3	single_male	guarantor	2	real_estate	34	none	own	1	skilled_employee	1	none	yes	good_credit
negative	60	delay_in_payments	business	6836	<100DM	>7years	3	single_male	none	4	none	63	none	own	2	skilled_employee	1	yes	yes	bad_credit
0-200DM	18	all_existing_credits_payed	business	1913	>1000DM	<1year	3	male	none	3	real_estate	36	bank	own	1	skilled_employee	1	yes	yes	good_credit
negative	24	all_existing_credits_payed	house_investments	4020	<100DM	1-4years	2	single_male	none	2	car_other	27	stores	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	car(new)	5866	100-500DM	1-4years	2	single_male	none	2	car_other	30	none	own	2	skilled_employee	1	yes	yes	good_credit
