motor	screw	pgain	vgain	class>1.38970839915
A B C D E	A B C D E	3 4 5 6	1 2 3 4 5	1 0
				class
E	E	5	4	0
B	D	6	5	0
D	D	4	3	0
B	A	3	2	1
D	B	6	5	0
E	C	4	3	0
C	A	3	2	1
A	A	3	2	1
C	A	6	5	0
D	A	4	1	0
B	E	6	5	0
E	C	5	4	0
B	C	4	1	0
E	C	3	1	0
C	C	5	4	0
E	B	3	2	1
D	C	3	1	0
B	C	5	4	0
B	B	5	4	0
C	E	4	2	0
E	D	4	3	0
A	D	4	3	0
B	C	6	5	0
A	C	4	2	0
A	B	6	5	0
E	C	6	5	0
A	A	3	1	1
A	E	4	2	0
C	D	3	2	1
B	B	3	2	1
B	E	4	2	0
B	C	3	1	1
C	E	4	1	0
C	A	6	2	0
C	C	6	5	0
E	E	3	2	0
D	E	3	1	0
E	C	4	2	0
C	B	6	5	0
C	D	4	1	0
D	B	4	1	0
C	B	4	3	0
C	C	4	3	0
B	D	4	1	0
B	A	5	3	0
A	B	4	3	0
B	A	4	1	0
E	D	4	2	0
C	E	3	2	1
D	D	3	1	0
D	A	6	5	0
C	B	3	2	1
B	E	3	2	1
C	D	5	4	0
B	B	4	2	0
A	E	4	3	0
A	A	4	2	0
B	D	4	3	0
E	A	3	2	1
B	C	4	3	0
E	B	4	2	0
E	A	5	4	0
E	B	5	4	0
C	A	6	1	0
D	A	4	3	0
C	B	4	2	0
D	B	3	2	1
D	C	3	2	0
C	A	5	2	0
B	D	4	2	0
B	A	6	5	0
D	A	4	2	0
C	B	5	4	0
A	E	6	5	0
A	C	4	1	0
A	E	5	4	0
E	C	4	1	0
B	B	3	1	1
A	D	3	2	1
E	D	3	2	0
E	A	3	1	1
A	C	6	5	0
C	E	5	4	0
C	A	5	4	0
E	A	6	5	0
B	E	5	4	0
E	E	4	3	0
B	A	4	2	0
B	D	5	4	0
C	C	4	2	0
A	A	5	3	0
C	E	4	3	0
A	A	4	3	0
C	A	6	3	0
A	E	4	1	0
A	D	6	5	0
E	D	3	1	0
C	B	4	1	0
B	D	3	2	1
B	B	4	3	0
B	C	4	2	0
A	E	3	2	1
B	D	3	1	1
D	B	5	4	0
C	C	4	1	0
C	D	4	2	0
E	B	4	1	0
D	B	3	1	0
E	B	6	5	0
D	A	3	1	1
A	D	5	4	0
C	A	4	1	0
C	D	6	5	0
B	A	4	3	0
E	A	4	3	0
A	A	4	1	0
A	C	4	3	0
E	D	6	5	0
E	A	4	2	0
C	D	3	1	1
B	B	4	1	0
C	A	4	2	0
C	A	5	1	0
C	E	3	1	0
C	A	3	1	1
C	A	4	3	0
C	C	3	1	1
D	A	5	4	0
A	B	5	4	0
C	C	3	2	1
E	D	5	4	0
D	C	4	3	0
E	E	6	5	0
D	B	4	2	0
A	D	4	2	0
B	B	6	5	0
A	B	4	1	0
A	C	5	4	0
B	E	4	1	0
C	B	3	1	1
E	E	4	2	0
B	E	4	3	0
A	E	3	1	1
A	B	4	2	0
A	C	3	1	1
E	C	3	2	1
B	A	3	1	1
D	D	3	2	1
A	C	3	2	1
E	A	4	1	0
B	A	5	4	0
E	E	3	1	0
D	E	3	2	0
E	B	3	1	1
A	D	4	1	0
A	D	3	1	1
E	B	4	3	0
A	B	3	1	1
D	B	4	3	0
A	A	5	4	0
D	A	3	2	1
C	E	6	5	0
B	C	3	2	1
B	E	3	1	1
C	D	4	3	0
A	B	3	2	1
A	A	6	5	0
