motor	screw	pgain	vgain	class
A B C D E	A B C D E	3 4 5 6	1 2 3 4 5	continuous
				class
E	E	5	4	0.28125095
B	D	6	5	0.50625253
D	D	4	3	0.35625148
B	A	3	2	5.50003290
D	B	6	5	0.35625148
E	C	4	3	0.80625463
C	A	3	2	5.10001421
A	A	3	2	5.70004225
C	A	6	5	0.76875436
D	A	4	1	1.03125370
B	E	6	5	0.46875226
E	C	5	4	0.39375174
B	C	4	1	0.28125095
E	C	3	1	1.10000002
C	C	5	4	0.50625253
E	B	3	2	1.89998972
D	C	3	1	0.90000111
B	C	5	4	0.46875226
B	B	5	4	0.54375279
C	E	4	2	0.20625044
E	D	4	3	0.91875541
A	D	4	3	1.10624826
B	C	6	5	0.46875226
A	C	4	2	0.58125305
A	B	6	5	0.58125305
E	C	6	5	0.39375174
A	A	3	1	5.30002356
A	E	4	2	0.46875226
C	D	3	2	1.89998972
B	B	3	2	4.29997683
B	E	4	2	0.35625148
B	C	3	1	3.89996409
C	E	4	1	0.54375279
C	A	6	2	0.54375279
C	C	6	5	0.50625253
E	E	3	2	1.10000002
D	E	3	1	0.50000030
E	C	4	2	0.13124992
C	B	6	5	0.54375279
C	D	4	1	0.20625044
D	B	4	1	0.69375384
C	B	4	3	0.88125515
C	C	4	3	0.91875541
B	D	4	1	0.24375071
B	A	5	3	0.65625358
A	B	4	3	1.03125370
B	A	4	1	0.80625463
E	D	4	2	0.43125200
C	E	3	2	4.09996748
D	D	3	1	0.70000070
D	A	6	5	0.43125200
C	B	3	2	4.49998617
B	E	3	2	4.69999552
C	D	5	4	0.50625253
B	B	4	2	0.73125410
A	E	4	3	1.14374554
A	A	4	2	0.88125515
B	D	4	3	1.03125370
E	A	3	2	6.90009832
B	C	4	3	0.95625567
E	B	4	2	0.58125305
E	A	5	4	0.58125305
E	B	5	4	0.43125200
C	A	6	1	0.54375279
D	A	4	3	0.73125410
C	B	4	2	0.50625253
D	B	3	2	1.69999230
D	C	3	2	1.29999745
C	A	5	2	0.54375279
B	D	4	2	0.39375174
B	A	6	5	0.80625463
D	A	4	2	0.28125095
C	B	5	4	0.54375279
A	E	6	5	0.50625253
A	C	4	1	0.35625148
A	E	5	4	0.50625253
E	C	4	1	0.28125095
B	B	3	1	4.49998617
A	D	3	2	4.69999552
E	D	3	2	1.29999745
E	A	3	1	7.10010767
A	C	6	5	0.50625253
C	E	5	4	0.46875226
C	A	5	4	0.76875436
E	A	6	5	0.58125305
B	E	5	4	0.46875226
E	E	4	3	0.84375489
B	A	4	2	0.84375489
B	D	5	4	0.50625253
C	C	4	2	0.35625148
A	A	5	3	0.69375384
C	E	4	3	1.06875098
A	A	4	3	1.10624826
C	A	6	3	0.54375279
A	E	4	1	0.24375071
A	D	6	5	0.50625253
E	D	3	1	0.90000111
C	B	4	1	0.43125200
B	D	3	2	4.09996748
B	B	4	3	0.99375594
B	C	4	2	0.50625253
A	E	3	2	4.49998617
B	D	3	1	3.89996409
D	B	5	4	0.39375174
C	C	4	1	0.24375071
C	D	4	2	0.24375071
E	B	4	1	1.18124282
D	B	3	1	1.29999745
E	B	6	5	0.43125200
D	A	3	1	2.49998212
A	D	5	4	0.50625253
C	A	4	1	0.73125410
C	D	6	5	0.46875226
B	A	4	3	1.06875098
E	A	4	3	1.21874011
A	A	4	1	0.84375489
A	C	4	3	0.99375594
E	D	6	5	0.31875122
E	A	4	2	0.99375594
C	D	3	1	1.49999487
B	B	4	1	0.58125305
C	A	4	2	0.76875436
C	A	5	1	0.54375279
C	E	3	1	1.29999745
C	A	3	1	4.29997683
C	A	4	3	1.03125370
C	C	3	1	1.89998972
D	A	5	4	0.43125200
A	B	5	4	0.58125305
C	C	3	2	4.29997683
E	D	5	4	0.31875122
D	C	4	3	0.54375279
E	E	6	5	0.28125095
D	B	4	2	0.35625148
A	D	4	2	0.46875226
B	B	6	5	0.54375279
A	B	4	1	0.61875331
A	C	5	4	0.50625253
B	E	4	1	0.20625044
C	B	3	1	3.89996409
E	E	4	2	0.50625253
B	E	4	3	1.10624826
A	E	3	1	3.89996409
A	B	4	2	0.80625463
A	C	3	1	3.89996409
E	C	3	2	1.49999487
B	A	3	1	5.10001421
D	D	3	2	1.49999487
A	C	3	2	4.69999552
E	A	4	1	0.88125515
B	A	5	4	0.80625463
E	E	3	1	0.70000070
D	E	3	2	0.90000111
E	B	3	1	1.49999487
A	D	4	1	0.24375071
A	D	3	1	4.09996748
E	B	4	3	0.99375594
A	B	3	1	4.69999552
D	B	4	3	0.58125305
A	A	5	4	0.80625463
D	A	3	2	2.69997954
C	E	6	5	0.46875226
B	C	3	2	4.49998617
B	E	3	1	3.69996667
C	D	4	3	0.95625567
A	B	3	2	4.49998617
A	A	6	5	0.80625463
